time,avg-action-ltm-depth
0,0
69,1
13868,1.1666666666666667
15157,1.1428571428571428
21662,1.2857142857142858
23566,1.25
26581,1.375
45154,1.4444444444444444
49044,1.5
68737,1.5454545454545454
86879,1.5833333333333333
165313,1.6153846153846154
182790,1.6428571428571428
208086,1.6666666666666667
411230,1.6875
615803,1.6470588235294117
705221,1.6666666666666667
1871729,1.6842105263157894
1972001,1.7
2665904,1.7142857142857142
2920226,1.7272727272727273
